Apps package name,Review,Polarity
272,Norton Genie,thanks app good,0.7003
273,Norton Genie,dont know,0.0
274,Norton Genie,good,0.4404
275,Norton Genie,op bro,0.0
276,Norton Genie,good,0.4404
277,Norton Genie,operational machine intelligence,0.4767
278,Norton Genie,intermittent say later time timer_clock whenever happens norton mcafee two bestselling security system available,0.34
279,Norton Genie,great app hand especially may scamphishing savvy,0.8074
280,Norton Genie,great spamming,0.25
281,Norton Genie,love norton genie would bind without thank norton genie perfect smiling_face_with_hearts,0.7776
282,Norton Genie,cool feature,0.3182
283,Norton Genie,absolutely brilliant send thing like email txt msg etc see safe open nine x ten scam,0.6997
284,Norton Genie,hey siri lock phone,0.0
285,Norton Genie,site today two different people wanted much information gut telling run away took screenshot shared genie five set scammer check informed used method tactic consistent fraud scam immediately blocked reported experienced thank norton genie,-0.6908
286,Norton Genie,nice app checking website,0.4215
287,Norton Genie,save making bad decision,-0.0772
288,Norton Genie,norton genie good job identifying scammy text message would incredibly helpful year ago victim identity theft wish app ai feature provided recommendation next step identifying scam overall useful tool could even better additional feature,0.8268
289,Norton Genie,great thumbs_up,0.6249
290,Norton Genie,tell friend product wonderful,0.7845
291,Norton Genie,already warned site seems dodgy,-0.4588
292,Norton Genie,awesome app really helpful,0.8016
293,Norton Genie,hey siri phone lock,0.0
294,Norton Genie,keep guard scamming hacker,0.0
295,Norton Genie,great readthanks,0.6249
296,Norton Genie,"doesnt thing fact norton three hundred sixty bought five thousand , four hundred ninety-nine several device screwed phone cant even get use phone line call anyone call norton help left nasty review contacted support yet brick instead phone maybe ill get someone need phone pay rent beginning october thanks lot norton going dispute charge get",-0.6597
297,Norton Genie,suprb app,0.0
298,Norton Genie,ok,0.296
299,Norton Genie,incorrectly identified real text credit card scam right charge fake text better others bias towards scam,-0.7506
300,Norton Genie,god bless,0.5994
301,Norton Genie,super,0.5994
302,Norton Genie,rebecca l bury please beware scam hacker really suspicious scary happened especially dating site target innocent people rebecca l bury thats serious ok fine yellow_heartbutterflygrowing_heartrainbowfolded_handssmiling_face_with_halo,0.3461
